메뉴명,요리종류,중량,열량,탄수화물,단백질,지방,나트륨,해쉬태그,재료정보
소안심 야채 호박잎쌈,반찬,,173.5,6,21.3,7.1,150.8,안심,"호박잎(5장), 적채(20g), 파프리카(50g), 양파(30g), 오이(30g),
소고기(안심, 120g), 다시마(10g), 두부(50g), 고추장(30g),
설탕(10g), 식초(10g), 후춧가루(0.2g)"
양배추 고기말이,반찬,,162.9,12.9,15.4,5.5,113.1,등심,"양배추(120g), 돼지고기(등심, 50g), 두부(50g), 시금치(30g),
달걀(1개), 마늘(10g), 소금(0.2g), 후춧가루(0.01g)"
양배추 쌈말이,반찬,,125.8,15,14.1,1,85.2,,"양배추(120g), 돼지고기(100g), 깻잎(5장), 사과(1/2개),
파프리카(50g), 당근(20g), 다시마(10g), 마늘(10g),
저염간장(20g), 후춧가루(0.01g), 가쓰오부시(10g)"
연어샐러드,반찬,,274.8,3.2,33.6,14.2,334.6,발사믹소스,"연어(150g), 레몬(1/4개), 발사믹소스(50g), 어린잎(30g),
후춧가루(0.01g), 올리브오일(20g)"
오렌지 드레싱 타다키 부추샐러드,반찬,,280.7,14,27.7,12.6,143.6,,"오렌지(1/2개), 양파(30g), 소고기(등심, 120g), 레몬(1/4개),
부추(30g), 양배추(30g), 견과류(20g), 소금(0.2g),
후춧가루(0.01g)"
마감자전,반찬,,165.4,25.2,3.4,5.4,156.4,,"마감자전 : 감자 40g, 마 40g, 찹쌀가루 15g, 양파 5g, 현미유 5g 간장양념장 : 간장 3g, 파 2g, 식초 2g, 통깨 0.5g"
배추토란국,국&찌개,,77.7,6.8,6,3.1,564.9,양지,"토란 50g, 쇠고기 양지 15g, 배추 10g, 대파 2.5g 다진 마늘 1.25g, 고춧가루 1.7g, 된장 9g, 물 180g, 참기름 1g"
갈치고추장구이,반찬,,132.8,4.2,9.9,8.1,298.7,,"갈치구이 : 갈치 50g, 현미유 4g 고추장양념 : 고추장 5g, 양파 5g, 파 3g, 다진 마늘 2g, 간장 2g, 매실액 2g, 고춧가루 1g, 다진 생강 0.5g, 통깨 0.1g, 후춧가루 0.3g"
단호박푸딩,후식,,143.4,10.5,6.9,8.6,55,,"단호박 70g, 우유 80g, 달걀노른자 20g, 꿀 2.5g"
고등어된장구이,반찬,,193.8,3.1,11.4,14.8,613.6,,"고등어 50g, 콩기름 2g, 양파 껍질 2g, 양파 5g, 일식된장 미소 3g, 마요네즈 2g, 식초 0.3g, 맛술 3.75g, 생강즙 1.25g, 다시마 국물 3.75g"
낙지브로콜리볶음,반찬,,92,5.7,10.2,3.4,580.7,방울토마토,"낙지 70g, 브로콜리 30g, 방울토마토 60g, 밀가루 5g, 양파 25g, 마늘 2g, 올리브유 3g, 소금 0.5g"
주꾸미돌나물무침,반찬,,69.6,8.4,6.2,1.4,350.1,돌나물,"주꾸미 50g, 돌나물 15g, 오이 10g, 노랑파프리카 5g, 빨강파프리카 5g, 양파 5g 고추장 9g, 식초 6g, 매실액 5g, 다진 파 5g, 다진 마늘 2.5g, 통깨 1g, 고춧가루 1g"
사과소스폭찹,반찬,,184.2,6.2,11,12.8,233.5,등심,"돼지고기 등심 60g, 소금 0.5g, 후추 0.25g, 올리 브유 1.5g, 사과 50g, 양파 25g, 토마토 50g, 물 50g, 버터 1g, 올리브유 1.5g, 레몬즙 2.5g"
건도토리묵버섯들깨국,국&찌개,,89.1,12.3,4.1,2.5,457,,"건도토리묵 30g(불린것 50g), 표고버섯 5g, 느타리버섯 5g, 들깨가루 5g, 국멸치 3g, 건다시마 3g, 파 2g, 다진 마늘 2.5g, 국간장 1g, 소금 0.5g, 물 300g"
무대하무침,반찬,,71.2,4.6,6.9,2.9,153.1,,"무 40g, 새우(대하) 30g, 파 3g, 다진 마늘 3g, 고춧가루 2g, 간장 2g, 설탕 1g, 참기름 2g, 통깨 0.2g"
간편조기찜,반찬,,124.8,3,14.9,5.7,405.7,,"조기 70g, 고사리 20g, 양파 10g, 홍고추 3g, 청고추 3g, 다진 마늘 2.5g, 다진 생강 1g, 국간장 2g, 참기름 1g, 통깨 0.3g, 물 100g"
표고버섯쇠고기찜,반찬,,78.7,4.8,5.4,4,318.4,등심,"표고버섯 30g, 다진 쇠고기 등심 20g, 양파 3g, 대파 2.5g, 다진 마늘 1.25g, 간장 3g, 설탕 2g, 참기름 1g, 말린 청양고추 0.5g"
참나물돼지고기샐러드,반찬,,213.3,8.5,12.1,14.1,246,사태,"돼지고기사태 60g, 참나물 20g, 양파 15g, 파 5g, 통마늘 3g, 생강 2g, 후춧가루 0.5g 양파 10g, 간장 4g, 식초 4g, 설탕 3g, 마늘 3g, 고춧가루 1g, 올리브유 1g, 통깨 0.5g"
연근배추홍시샐러드,반찬,,171.5,20.2,3.3,9.4,112.2,,"연근배추샐러드 : 연근 20g, 배추 20g, 사과 20g, 배 20g, 땅콩 3g, 호두 3g, 현미유 5g, 물 100g 홍시드레싱 : 홍시 30g, 호상요구르트 30g, 3배 식초 0.5g, 소금 0.3g"
열무곤약국수,일품,,62.2,11.5,3.1,0.4,477.8,,"열무김치 100g, 실곤약 150g, 오이 25g, 레몬 20g
양파 60g, 계란 60g, 당근 20g, 통깨 3g"
장어구이,반찬,,186.1,21.5,16,4,460.7,,"장어 250g, 우유 100g
뿌리채소조림 : 우엉 60g, 더덕 60g, 생강 20g, 맛간장 15g, 생강청 15g
올리고당 15g, 발사믹식초 30g
곁들이김치 : 명이김치 25g, 백김치 25g"
안심스테이크,반찬,,238.6,16.7,13.6,13.1,118.7,안심,"안심 160g, 아스파라거스 60g, 당근 25g, 감자 60g, 호두 40g
소스 : 망고 150g, 블루베리잼 30g, 다진마늘 15g, 버터 15g, 포도주 15g
올리고당 15g, 흰후추 1g, 볶은소금 1g"
로제파스타,일품,,282.6,37,10.4,10.4,41.4,,"토마토홀 50g, 토마토 100g, 다진양파 30g, 다진마늘 15g
푸실리 50g, 치즈가루 25g, 파슬리가루 1g, 함초소금2g, 마늘오일 15g
곁들이야채 : 양파 25g, 가지 25g, 파프리카 20g, 애호박 20g"
가지라따뚜이,반찬,,68.6,8.2,2.6,2.6,122.3,,"가지 1/2개(180g)
피망 100g, 파프리카 100g, 양파 100g, 토마토페이스트 200g, 애호박 200g
치즈가루 10g, 바질잎 1g"
쪽갈비구이,반찬,,306.8,2.7,23.3,22.5,150.9,등갈비,"쪽갈비 400g, 올리브오일 30g, 통후추 1g, 건 로즈마리 1g, 와인 15g
곁들이채소 : 방울토마토 45g, 양파 60g, 레몬껍질 10g
소스 : 마요네즈 30g, 식초 15g, 홀그레인 머스터즈 10g, 설탕 5g, 다진마늘 5g, 백후추 1g"
베이컨밀푀유,국&찌개,,155.6,5.6,10.5,10.1,610.2,,"알배추 8장(200g), 깻잎 12장(20g), 베이컨 80g
무 100g, 숙주 120g, 청경재 80g, 백일송이 25g
국물 : 채소국물 8컵(표고버섯, 다시마, 무, 마늘, 대파뿌리, 양파), 맛간장 15g
소스 : 멸치간장 15g, 와사비 10g, 레몬즙 15g
소스 : 칠리소스 30g, 올리고당 15g, 레몬즙 15g"
실곤약냉파스타,일품,,117.8,6.4,4.2,8.4,80.3,,"실곤약 150g, 칵테일새우 100g, 브로콜리 100g, 바질 5g, 레몬즙 15g
소스 : 잣 바질페이소스 15g, 마늘오일 15g , 드라이토마토 10g"
명란프리타타,반찬,,187.1,3.6,17,11.6,329.5,,"명란젓 50g, 생크림 20g, 달걀 4개(240g), 흰추후 1g, 시금치 50g
방울토마토 6개(100g), 올리브유 15g"
양송이구이,반찬,,162.2,6.6,14.5,8.6,115.9,,"양송이 100g, 로즈마리 1g
소 : 다진 돼기고기 100g, 청양고추 30g, 후추 1g, 다진마늘 5g, 달걀 60g, 밀가루 5g
소스 : 홀스레디쉬 30g, 레몬즙 15g, 후추 1g"
함초김치,반찬,,49.1,11.2,0.7,0.2,176.1,,"함초 25g, 알배추 50g, 양파 50g, 무 100g, 간편 어간장 15g
국물 : 오렌지주스 50g, 유자청 30g, 식초 15g, 설탕 15g, 야채국물 800g"
연어스테이크,일품,,487.8,31.1,23.3,26.1,362.3,,"연어 150g, 건조다시마 사방 10cm 1장, 잎녹차 5g, 브로콜리 15g, 호두10g
귀리 20g, 쌀 20g, 미소된장 5g, 흰후추 1g, 화이트와인 15g,, 생크림 50g
수제조미료 10g, 닭육수 150g, 버터 5g"
웰빙꼬치,반찬,,125.5,15.1,11.8,2,60.5,닭가슴살,"닭가슴살 150g, 자숙새우 100g, 소라살 100g, 방울토마토 80g
단호박 100g, 대파 50g, 2가지색 파프리카 100g
양파 100g, 흰 후추 2g, 레드와인 30g, 다진 마늘 15g, 올리브오일 30g, 통후추 3g
소스 : 발사믹 식초 100g, 설탕 30g, 버터 30g"
매운닭날개구이,반찬,,285,22,17,14.3,433.9,닭날개,"닭날개 100g, 감자 80g, 방울토마토 100g, 브로콜리 30g
마늘 15g, 양파 50g, 버터 15g, 후추 1g, 황설탕 5g
고춧가루 5g, 레드와인 30g, 멕시코고추 1g"
웰빙카레죽,반찬,,210.4,33.7,5.1,6.1,351,닭가슴살,"카레가루 45g, 귀리밥 200g, 닭가슴살 150g, 애호박 25g
감자 60g, 양파 60g, 방울토마토 100g
마늘 100g, 버터 15g, 칵테일새우 30g"
닭가슴살 두부선,반찬,90,94.34,1.13,14.4,3.58,17.24,닭가슴살,"닭고기(가슴살) 50g, 두부 120g, 비트 10g, 시금치 10g, 베이비채소 1g, 마늘 2g, 참기름 1.5g, 흑임자 3g, 플레인요거트 15g, 식초 0.5g, 설탕 1g, 소금 0.2g"
단호박 마전,반찬,65,122.34,16.58,2.53,5.1,1.18,단호박,"단호박 70g, 마 20g, 밀가루 5g, 찹쌀가루 5g, 건대추 1g, 소금 0.3g"
완두콩과 당근을 넣은 감자요거트 샐러드,기타,53,43.5,8.22,1.58,0.48,13.01,,"완두콩 10g, 당근 10g, 감자 50g, 플레인요거트 20g"
무오색쌈,반찬,30,19.1,1.1,1.7,0.9,63.5,,"쌈무 10.5g, 쇠고기 4.5g, 달걀 2.4g, 당근 3.3g, 표고버섯 3.2g, 오이 7.8g, 연겨자 0.28g, 진간장 0.05g, 식초 0.57g, 참기름 0.14g, 깐마늘 0.3g, 설탕 0.1g, 통깨 0.01g, 소금 0.05g"
흑마늘견과류조림,반찬,41,179.2,15.1,6.3,10.4,120.2,,"통마늘 10g, 마카다미아 5g, 호두 5g, 아몬드 5g, 캐슈넛 2g, 땅콩 2g, 대두유 5g, 흑마늘진액 5g, 간장 2g, 물엿 2g , 깨 2g"
고구마 찰 빵,기타,100,241,39.76,6.35,6.27,4.16,,"(반죽재료) 쌀가루 120g, 타피오카 전분 80g, 비트가루 15g, 물 140g, 르뱅 발효종 160g, 소금 2g, 올리브유 25g,
(속재료)  고구마 30g, 생크림 10g, 김치 70g, 양파30g , 기름5g"
브로콜리견과류복음,반찬,55,113.45,5.29,3.03,8.91,4.31,브로콜리,"브로콜리 70g, 아몬드슬라이스 5g, 캐슈넛 10g, 무염버터 10g, 소금 0.3g"
유린기,반찬,105,158.64,5.08,13.86,9.21,195.3,닭다리살,"닭고기(다리살) 110g, 양상추 25g, 그린치커리 5g, 라디치오 5g, 홍고추 5g, 청양고추 5g, 대파 5g, 무순 3g, 식초 5g, 간장 5g, 옥수수전분 5g, 레몬 2g, 설탕 1.5g, 마늘 1g, 생강 1g"
단호박 호밀빵,기타,100,271,53.05,10.59,1.86,1.83,,"(반죽재료) 통밀가루 200g, 강력분 200g, 전립분 40g, 소금 15g, 드라이이스트 5g, 물 150ml, 베이킹파우더 10g
(속재료) 단호박 20g, 참깨 10g"
미숫가루 스콘,기타,100,376,55.8,9.53,12.73,8.1,,"버터 40g, 박력분 90g, 강력분 90g, 미숫가루 70g, 베이킹파우더 10g, 우유 66g, 달걀 50g(1개), 건크랜베리 20g, 호두 20g"
고구마 공갈빵,기타,100,277,56.14,8.73,1.92,4.46,,"(반죽재료) 강력분 300g, 이스트 6g, 소금 4g, 버터 10g, 물 170ml 
(속재료) 고구마 3~4개, 우유20g"
검은콩 크림빵,기타,100,233,37.02,10.98,3.47,4.69,,"(반죽재료)강력분 300g, 물 250ml, 이스트 8g,  호밀가루 50g, 검은콩가루 24g, 올리브유 4g,호두 50g, 크랜베리 24g,
(속재료) 불린 검은콩 300g ,우유 200g , 달걀 50g(1개) ,소금 3g"
오이 소르베,후식,167.6,65.4,8.3,3.7,1.9,34.7,,"오이(100g), 셀러리 줄기(15g), 요거트(60g), 과일(20g), 라임즙(5g), 아가베 시럽(5g)"
리코타치즈 카프레제,후식,150,222.7,9,4.7,18.6,13.9,,"방울토마토(100g), 우유(370㎖), 레몬즙(20g), 발사믹식초(10g), 레몬즙(1g), 올리브유(10g)"
연두부 카프레제,후식,310,309.3,12.3,17.5,21.1,279.4,,"깻잎(2장), 양파(20g), 방울토마토(5개=50g), 연두부(100g), 두부(100g), 다진 마늘(10g), 치즈(40g), 간장(8g), 올리브유(30g), 참기름(15g)"
연두부 토마토,일품,155,110.1,7.6,8.3,5.1,46.9,,"연두부(70g), 방울토마토(6~7개=50g), 스트링치즈(40g), 어린잎채소(약간), 발사믹식초(5g), 사과(150g), 사과주스(50g), 플레인 요거트(30g)"
들깨삼겹살과 참외쌈장,반찬,211.7,491.8,9.4,16.4,43.2,893.9,,"[ 2인분 ] 삼겹살(200g), 참외(중간 크기 1개), 영양부추(50g), 들깻가루(3Ts), 마늘(5쪽), 통후추(1ts), 저염 된장(3Ts), 다진 양파(2ts), 다진 마늘(1ts), 참깨(1Ts), 참기름(2Ts), 다진 청고추(1ts), 다진 홍고추(1ts), 고춧가루(2ts), 다진 파(1ts), 들깻가루(4Ts), 사과즙(2Ts), 견과류(5Ts)"
돼지고기 포두부 파스타,기타,230.8,459.4,9.9,35.6,30.8,211.8,,"[ 2인분 ] 양파(½개), 마늘(6~7쪽), 대파(1대), 다진 돼지고기(400g), 두부면(2팩=200g), 새우(¾컵), 닭육수(5컵), 청양고추(2개), 고추장(0.5Ts), 후춧가루(0.8Ts), 식초(1.5Ts), 올리브유(10Ts), 고춧가루(1Ts)"
단호박 양파잼 샌드위치,기타,181.6,287,41.8,10.5,8.6,489.2,,"[ 2인분 ] 양파(3개), 미니 단호박(2개), 삶은 달걀(3개), 우유(½컵), 식빵(4장), 슬라이스 체더치즈(2장), 말린 자두(½컵), 청상추(2장), 아몬드 슬라이스(⅓컵), 화이트와인(⅓컵), 꿀(2Ts), 소금(0.3Ts), 후춧가루(약간)"
시금치크림치즈 빵,기타,100,303,36.07,9.2,13.54,2.28,,"(반죽재료) 통밀가루 50g, 강력분 200g, 인스턴트 드라이 이스트 3g, 사과종 45ml, 물 120ml, 소금 2g, 달걀 50g(1개), 올리브유 15g, 시금치 소량, 말린 방울토마토 4~5개
(속재료) 시금치 50g, 다진 마늘 3g,  볶음 참깨 60g, 올리브유 8g, 소금 소량, 후추 소량, 크림치즈 100g"
무말랭이김치,반찬,35,10.86,2.56,0.14,0,1.85,무말랭이,"무말랭이 10g, 식초 30g, 설탕 25g, 레몬 8g, 당근 5g, 오이 5g, 피클링스파이스 5g, 물 100g"
고울슬로샐러드,반찬,49,38.47,3.65,0.61,2.38,69.58,양배추,"양배추 30g, 양파 10g, 마요네즈 10g, 적파프리카 3g, 청피망 3g, 설탕 1g, 식초 0.5g"
마들깨미역국,국&찌개,318,161.9,13.1,6.8,9.2,173.6,,"건미역 4g, 마 40g, 깐들깨가루 17g, 건다시마 1g, 참기름 2.5g, 마늘 2.5g, 물 300ml"
바지락맑은국,국&찌개,302,11.2,1.3,1.3,0.1,73.7,,"바지락 18.5g, 무 20.4g, 깐실파 2.8g, 홍고추 0.25g, 깐마늘 0.6g, 국멸치 1.4g, 건다시마 0.7g, 건표고 0.28g, 국간장 0.4g, 물 300ml"
통배추 겉절이,반찬,35,22.74,2.9,1.08,0.76,173.78,,"통배추 60g, 골파 3g, 통깨 2g, 참기름 1g, 소금 0.5g, (양념) 고춧가루 3g, 생강 1g, 마늘 3g, 홍시 5g, 젓갈 1g"
포니언 스프,일품,301,414.2,48.3,8.4,20.9,451.1,,"감자(180g), 양파(70g), 우유(50㎖), 시판 크루통(10g), 파슬리가루(약간), 버터(15g), 소금(0.5g), 후춧가루(0.5g)"
가지 탕수육,일품,164.5,297.2,27.2,7.5,17.6,596.3,,"돼지고기(70g), 두부(50g), 아삭이고추(30g), 가지(60g), 식용유(100ml), 소금(0.3g), 후춧가루(0.2g), 간장(20g), 올리고당(30g), 식초(10g), 전분(10g), 튀김가루(50g)"
토마토소스 애호박냉파스타,기타,243.3,121.7,9.4,2.7,8.1,425.3,,"[ 2인분 ] 토마토(2개), 참외(1개), 오이(1개), 양파(½개), 마늘(3쪽), 애호박(1개), 바질잎(4장), 블랙올리브 파우더(약간), 레몬즙(1Ts), 올리브유(5Ts), 소금(0.4Ts), 페페론치노(0.3Ts), 저염 간장(0.5Ts), 식초(2Ts), 꿀(1Ts)"
새우채소 김치롤,반찬,229.2,121.1,5.5,14.2,4.7,526.4,,"[ 2인분 ] 김치(¼포기), 오이(1개), 파프리카(노랑, 빨강 각 1개), 깻잎(5장), 새우(2마리), 달걀물(2개 분량), 무순(⅓줌), 크래미(2줄), 식용유(0.3ts)"
토마토채소스프와 연어소바찜,일품,329,260,37.2,16.3,5.1,250.5,,"토마토(356g), 무(6g), 당근(6g), 마늘(5g), 양파(6g), 연어(100g), 메밀면(70g), 월계수잎(2g), 소금(1g)"
참나물무말이 물김치,반찬,103.3,34.4,7.5,0.8,0.2,209,,"참나물(30g), 무(20g), 레몬(1개), 설탕(10g), 사과식초(20g), 물(20㎖), 사과식초(15g), 마늘(2쪽), 홍고추(1개), 사과(½개)"
소고기 무국,국&찌개,287,46.5,3.42,6.49,0.77,226.87,소고기,"소고기 14g, 무 15g, 파 3g, 느타리버섯 5g, 숙주 5g, 저염간장 10g, 물 150g"
매운 락교무침,반찬,68,36.5,8.02,0.69,0.18,111.52,락교,"락교 30g, 쪽파 2g, 고춧가루 0.3g, 마늘 0.1g, 설탕 0.3g, 참기름 0.1g, 참깨 0.1g"
채소초밥,일품,280,393.26,87.64,7.59,1.37,144.48,,"쌀 40g, 현미 30g, 현미찹쌀 5g, 애호박 20g, 새송이버섯 20g, 우엉 20g, 적파프리카 15g, 황파프리카 15g, 주황파프리카 15g, 식초 2.5g, 설탕 2g, 파래김 1g, 미향 1g, 레몬 0.3g, 건다시마 0.1g"
꽃게바지락찌개,국&찌개,301,23.2,0.2,1.4,1.3,113.5,,"꽃게 8.2g, 바지락 4g, 조선무 11.3g, 깐양파 5g, 애호박 9.2g, 두절콩나물 5.3g, 국멸치 1.3g, 건다시마 0.3g, 깐대파 2g, 국간장 1.4g, 고춧가루 0.6g, 된장 0.5g, 고추장 0.6g, 물 300ml"
새뱅이찌개,국&찌개,200,74.9,14.7,3.8,0.1,561,,"물 300ml, 다시마 2g, 양파 15g, 새뱅이 30g, 밀가루 20g, 호박 10g, 무 10g, 청양고추 5g, 파10g, 마늘 5g, 쑥갓 5g, 고춧가루 3g, 고추장 3g, 소금 2g, 간장 1g"
황태미역국,국&찌개,300,23.5,2,2.6,0.6,216.5,,"황태머리 5g, 다시마 1g, 표고버섯 1g, 대파 1g, 황태 5g, 건미역 2.5g, 다진마늘 1g, 저염국간장 3g, 참기름 1g, 물 300ml"
매실입은가지닭볶음탕,반찬,153,211.4,9.2,26.2,7.7,241.6,,"닭고기 100g, 가지 30g, 매실엑기스 5g, 파 5g,, 마늘2g, 대두유 3g, 간장 3g, 식초 2g, 미림 2g, 올리고당 2g, 참기름 1g"
홍시잼 식빵,기타,100,239,43.76,6.41,4.25,12.37,,"(반죽재료) 강력분 500g, 인스턴트 이스트 5g, 소금 7g, 달걀 50g(1개), 우유 250g, 포도씨유 50g 
(속재료) 홍시 1000g,  레몬즙 3g"
콩가루 소보로,기타,100,279,41.91,9.08,8.35,13.53,,"(반죽재료) 강력분 320g, 날콩가루 80g, 따뜻한 우유 140ml, 이스트 8g, 달걀 2개, 코코넛 오일 20g, 소금 2g 
(비스킷재료) 박력 쌀가루 100g, 볶은 콩가루 60g, 베이킹파우더 2g, 달걀 2개, 버터 60g 
(속재료) 고구마 500g, 우유 50g, 크랜베리 100g, 아몬드 30g"
곤약 가스,일품,310,449.8,39,15,26,385.3,,"냉동 곤약(200g), 채 썬 양파(50g), 납작 썬 마늘(10g), 채소 육수(100㎖), 아몬드(100g), 땅콩(100g), 통밀가루(45g), 미림(20g), 간장(5g), 간 마늘(10g), 토마토 페이스트(30g), 간장(10g), 설탕(3g), 발사믹식초(5g), 식용유(5㎖)"
두부크림 관자뇨키,일품,234,267.6,12.9,26.5,12.2,478.9,,"[ 2인분 ] 양파(25g), 관자(200g), 새우(6마리), 모시조개(6개), 청양고추(2개), 두부(200g), 우유(⅔컵), 생크림(⅔컵), 후춧가루(약간), 다진 마늘(0.7Ts), 바질(4장), 그라나파다노 치즈(1Ts)"
"삼색나물, 토마토양념장",반찬,42,35.96,5.71,1.71,0.7,103.32,,"토마토 35g, 마늘 2g, 양파 20g, 꿀 15g, 식초 15g, 도라지 15g, 시금치 30g, 고사리 20g, 고추장 20g, 소금 2g, 참기름 5g"
삼색 브레드 스틱,기타,100,315,51.04,10.61,7.55,1.61,,"강력분 300g, 소금 3g, 드라이이스트 12g, 버터 36g, 식용유 6g, 당근 50g, 참나물 50g, 연근 30g, 견과류 10g, 물 100ml"
양배추말이 김치,반찬,104,33.2,6.1,1.7,0.2,200.2,,"양배추(2장), 시금치(20g), 오이(60g), 당근(20g), 고춧가루(1t), 간장(1t), 사과식초(1t), 사과즙(1t)"
단호박 양고기볶음,반찬,271.9,244.3,21.8,23.1,7.2,157.8,,"[ 2인분 ] 콜리플라워(50g), 고구마(1개), 양파(1개), 양고기(부채살, 250g), 마늘(7~8쪽), 단호박(1개), 올리브유(5ts), 바질럽드(3Ts), 바질페스토(3ts), 홀그레인 머스터드(2ts), 다진 마늘(2ts)"
홍시에이드,후식,101,42.14,10.3,0.18,0.02,2.06,,"홍시 50g, 배 20g, 탄산수 50g, 사이다 50g"
낙지묵은지콩나물국,국&찌개,300,71.7,9.4,6.3,1,280.5,,"낙지 50g, 묵은지 20g, 콩나물 40g, 무 40g, 대파 5g, 마늘 5g, 국멸치 3g, 대두유 5g, 간장 1.5g, 쌀뜨물 300ml , 고춧가루 5g"
자색고구마 버터크림 빵,기타,100,929,34.64,6.42,14.21,7.54,,"(반죽재료) 강력분 290g, 박력분 70g, 이스트 4g, 소금 5g, 달걀 50g(1개), 무염버터 30g , 바나나 180g, 밤고구마 130g, 물 150g 
(속재료) 삶은 밤고구마 380g, 바나나 180g, 바나나슬라이스 
(버터크림재료) 삶은 자색고구마 190g, 삶은 밤고구마 100g, 박력분 30g,  달걀 50g(1개) ,버터120g, 물 100g"
치아바타 피자빵,기타,100,237,29.14,12.79,7.65,1.7,,"(반죽재료) 블루베리 발효원종 250g, 강력분 250g, 소금 3g, 물 100ml
(소스) 토마토 150g, 양송이 버섯 50g, 양파 50g, 파프리카 50g, 로즈마리 5g, 식용유 10g , 물 50ml
(토핑) 저염치즈 200g"
코코넛워터 토마토카레,일품,457,583.9,88.6,25.2,14.3,601.2,,"양파(75g), 감자(50g), 당근(40g), 닭가슴살(100g), 토마토(150g), 코코넛워터(100㎖), 우유(100㎖), 현미밥(150g), 올리브유(10g), 후춧가루(3g), 카레가루(10g), 물(3T), 그릭요거트(45g), 소금(0.5g), 올리브유(10g), 올리고당(10g), 다진 마늘(15g), 카레가루(10g), 파슬리가루(0.5g)"
치즈 단호박,일품,340,379.3,49,19,11.9,248.5,,"단호박(1개=800g), 달걀(1개), 맛술(1T), 우유(1T), 모차렐라치즈(30g), 그라나파다노치즈(1Ts), 아몬드 플레이크(2Ts), 꿀(1Ts), 파슬리가루(약간)"
강황 투움바 파스타,기타,297.3,392.5,60.4,11.7,11.6,221.7,,"[ 2인분 ] 양파(1개), 양송이버섯(6개), 마늘(5쪽), 토마토(3개), 탈리아텔레(200g), 말린 토마토(2개), 다진 파슬리(0.5Ts), 핑크 페퍼(5알), 바질잎(2장), 바게트(약간), 물(1260ml), 무(150g), 양파(1개), 다시마(5×5cm, 2장), 올리브유(2Ts), 강황가루(2ts), 고운 고춧가루(0.5ts), 식물성 생크림(⅔컵), 두유(¼컵), 후춧가루(2ts)"
코다리 뿌리채소 들깨탕,국&찌개,347,93.33,3.64,14.75,2.2,155.11,코다리,"코다리 150g, 무 60g, 연근 20g, 호박 20g, 우엉 10g, 느타리버섯 10g, 표고버섯 10g, 대파 5g, 양파 10g, 청양고추 2g, 쑥갓 1g, 홍고추 1g, 다시멸치 1g, 다시마 1g, 들깨가루 15g, 마늘 1.5g, 생강 0.5g, 후추가루 0.5g, 천일염 0.2g"
찹쌀 흰살 생선찜,일품,155.5,206.1,20,16.4,6.8,284.6,,"배추(30g), 대파(12g), 가자미(70g), 찹쌀가루(5g), 식초(3g), 맛술(5g), 새우젓(2g), 다진 마늘(2g), 다진 파(2g), 월계수잎(1장), 불린 찹쌀(30g), 고운 고춧가루(2g), 백후추(1g), 잘게 다진 새우젓(1g)"
깻잎퓌레를 곁들인 삼치새우,일품,393,575.2,40.5,27.3,33.8,655.6,,"깻잎(20장), 청경채(1단), 새우(3마리), 삼치(75g), 생크림(230㎖), 식용 꽃(약간), 삶은 감자(150g), 녹인 무염 버터(15㎖), 우유(15㎖), 레몬즙(3g), 소금(2g), 후춧가루(3g), 건로즈메리(2g), 찹쌀가루(3g), 전분(12g), 올리브유(3㎖), 설탕(3g), 후춧가루(3g), 식용유(185㎖)"
참나물페스토 파스타,일품,174,262.3,36.4,8.4,5.2,345.6,,"참나물(50g), 방울토마토(2개), 스파게티(100g), 그라나파다노치즈(20g), 참나물(20g), 잣(5g), 올리브유(5g), 소금(2g), 소금(1g), 올리브유(약간)"
카레삼겹살 파니니,기타,308.7,655.5,80.1,23.9,26.6,738.3,,"[ 2인분 ] 방울토마토(4개), 아보카도(1개), 로메인(4장), 양파(¼개), 대파(15cm), 미나리(⅓줌=50g), 마늘(5쪽), 대패삼겹살(100g), 치아바타(2개), 올리브유(0.5Ts), 후춧가루(약간), 간장(1Ts), 꿀(1Ts), 카레가루(1Ts), 고운 고춧가루(0.3Ts), 플레인 요거트(2Ts) + 꿀(1Ts)"
어린잎채소 건두부말이,기타,89.9,233.8,7.3,12.7,17.1,156.7,,"[ 2인분 ] 어린잎채소(4컵), 견과류(1컵), 건두부(10장), 슈레드 모차렐라치즈(1컵), 라임청(3ts), 후춧가루(약간), 올리브유(2ts), 다진 마늘(0.3ts)"
토마토 채소 계란찜,반찬,135,181.76,4,11.68,13.23,159.3,계란,"방울토마토 20g, 양파 5g, 브로콜리 10g, 그린빈스 10g, 계란 80g, 파마산치즈 3g, 생크림 20g, 마늘 0.1g, 후추 0.1g"
배 깍두기,반찬,56,31.66,6.33,0.72,0.39,284.48,배,"배 400g, 쪽파 5g, 고춧가루 8g, 액젓 15g, 마늘 3g"
바지락가자미완탕국,국&찌개,372,126.6,14.8,15.5,0.6,177.5,,"가자미살 40g, 두부 20g, 양파 10g, 대파 5g, 후추 1.1g, 전분 3g, 바지락 60g, 무우 40g, 마늘 2g, 쑥갓 1g, 청홍고추 0.1g, 팽이버섯 0.1g, 물 300ml"
